AOV,CM1,CM3,CM1_Positive,CM3_Positive
400,-18.0,-55.5,False,False
420,-12.400000000000006,-49.900000000000006,False,False
440,-6.800000000000011,-44.30000000000001,False,False
460,-1.1999999999999886,-38.69999999999999,False,False
480,4.400000000000006,-33.099999999999994,True,False
500,10.0,-27.5,True,False
520,15.599999999999994,-21.900000000000006,True,False
540,21.19999999999999,-16.30000000000001,True,False
560,26.80000000000001,-10.699999999999989,True,False
580,32.400000000000006,-5.099999999999994,True,False
600,38.0,0.5,True,True
620,43.599999999999994,6.099999999999994,True,True
640,49.19999999999999,11.699999999999989,True,True
660,54.80000000000001,17.30000000000001,True,True
680,60.400000000000006,22.900000000000006,True,True
